2022-11-02 17:27:46,253 INFO     ts_ms:1667410063211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 40544, 'retransmits': 0, 'rttvar': 1161, 'end': 28.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 52947, 'bytes': 262144, 'start': 27.000057}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410064211 stream:{'bits_per_second': 2097152, 'snd_cwnd': 44888, 'retransmits': 0, 'rttvar': 3355, 'end': 29.000057, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 60890, 'bytes': 262144, 'start': 28.000057}
2022-11-02 17:27:46,253 INFO     ts_ms:1667410065211 stream:{'bits_per_second': 2097118.500535122, 'snd_cwnd': 49232, 'retransmits': 0, 'rttvar': 4720, 'end': 30.000073, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000159740448, 'omitted': False, 'sender': True, 'rtt': 65205, 'bytes': 262144, 'start': 29.000057}
2022-11-02 17:27:46,255 INFO     Starting iperf3 client: iperf3 -c 172.16.0.3 -p 5204 -t 30 -b 2M --json --logfile /logs/iperf-ue2.json
2022-11-02 17:28:17,009 INFO     ts_ms:1667410067255 stream:{'bits_per_second': 2734118.8117902824, 'snd_cwnd': 46336, 'retransmits': 0, 'rttvar': 5980, 'end': 1.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000560283660889, 'omitted': False, 'sender': True, 'rtt': 59189, 'bytes': 341784, 'start': 0}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410068255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 46336, 'retransmits': 0, 'rttvar': 12877, 'end': 2.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 49390, 'bytes': 262144, 'start': 1.000056}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410069255 stream:{'bits_per_second': 2097152, 'snd_cwnd': 39096, 'retransmits': 0, 'rttvar': 10688, 'end': 3.000056, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 37170, 'bytes': 262144, 'start': 2.000056}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410070255 stream:{'bits_per_second': 2097154.125002153, 'snd_cwnd': 59368, 'retransmits': 0, 'rttvar': 10269, 'end': 4.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 0.9999989867210388, 'omitted': False, 'sender': True, 'rtt': 83057, 'bytes': 262144, 'start': 3.000056}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410071255 stream:{'bits_per_second': 1048576, 'snd_cwnd': 59368, 'retransmits': 0, 'rttvar': 7411, 'end': 5.000055, 'pmtu': 1500, 'socket': 6, 'seconds': 1, 'omitted': False, 'sender': True, 'rtt': 96279, 'bytes': 131072, 'start': 4.000055}
2022-11-02 17:28:17,009 INFO     ts_ms:1667410072255 stream:{'bits_per_second': 2097145.7500186265, 'snd_cwnd': 60816, 'retransmits': 0, 'rttvar': 8485, 'end': 6.000058, 'pmtu': 1500, 'socket': 6, 'seconds': 1.0000029802322388, 'omitted': False, 'sender': True, 'rtt': 100886, 'bytes': 262144, 'start': 5.000055}
